175,"Wishing everyone a very Happy Raksha Bandhan.
Love 
a. https://t.co/bfsCDZ2S1y"
176,https://t.co/p8xZkIxA7F
177,"Wishing everyone a very happy Eid. 
Eid Mubarak ! 
Love. 
a."
178,"Congratulations Vinesh for winning the Gold in the Asian Games. We are all so proud of you. 
Love, Aamir and the team of Dangal. 
Mhaari chhoriyan chhoron se kam hai ke!"
179,"Memories...
https://t.co/VffEfZyLeX"
180,"Wishing everyone a very happy Independence Day! 
https://t.co/4iQeUsbweK
Love. 
a."
181,"Loved the trailer Sanya !!! Your first film after Dangal !! Good luck and all the very best ! 
Love. 
a.
https://t.co/WmW874ns0l"
182,"And none of this would have been possible without our wonderful team! A big thank you to all our trainers, Taluka coordinators, district and zonal teams, production teams,  our directors, our extremely supportive funders...and the favourite member of our team Shri @Dev_Fadnavis https://t.co/eq956uKcqu"
183,Congratulations to Takewadi from Maan Taluka for winning the 1st prize in the SMJ Water Cup. Your work is truly inspirational! And congratulations to all the participating villages across Maharashtra... in the Water Cup everybody wins against drought. https://t.co/2RmjmgmDeT
184,"Thank you all for coming together for water, and giving all of us at @paanifoundation so much confidence and inspiration to carry on this beautiful journey. @CMOMaharashtra @AjitPawarSpeaks @RamShindeMLA @AshokChavanINC @RVikhePatil @RajThackeray https://t.co/VkFj5OFiLL"
185,"Dearest Dada, your physical presence will be missed, but you are with me everyday. 
Love you.
a. https://t.co/DYol8dL3m8"
186,"Loved Sanju! Very moving story of a father and son, and of two friends. Ranbir is outstanding and Vicky Kaushal blew my mind! Thank you Raju for yet another film which entertain and enriches. 
Love. 
a."
187,Eid Mubarak :-)
188,"Hi Salman, I haven’t seen it yet, but I am sure that me and my family are going to love Race 3 ! 
Love you personally and professionally :-) . 
I loved the trailer! It’s going to be a blockbuster and break all records! 
Love.
a.
@BeingSalmanKhan"
189,"Dear Kamal Sir, congratulations to you and to the entire team of Vishwaroop 2 ! Wishing you all the very best. 
Love and respect always. 
Aamir.
#Vishwaroop2Trailer @ikamalhaasan 
https://t.co/KvxJc8xheF"
190,https://t.co/uUc0ubM8Pg
191,"Have always been a huge Rajni fan, can’t wait to watch Kaala.
https://t.co/JgxBA8UcTa"
192,"All the very best Harsh! May your hard work pay off and may you get all the success you deserve! Good luck ! 
Love. 
a. 
https://t.co/DAZHvB82Jn"
193,Celebrating Mansoor's 60th. https://t.co/BGdSXUiBNl
194,"Hey guys! I will be LIVE tomorrow at 9pm on the Facebook page of @paanifoundation . Hope to see you there! 
love, 
a."
195,"To all mothers.....❤
love, 
a. 
https://t.co/49TNArs6RD"
196,"Celebrating Maharashtra Day with my new jalmitra Alia :-)
@aliaa08 
@paanifoundation 
@satyamevjayate https://t.co/7n4lKcspMc"
197,"Feels just like yesterday....can't believe it's been 30 years. 
Love, 
a. https://t.co/drWymVucjJ"
198,"Hey guys, come join us. Last day for registering is midnight on 25th April. 
Love, 
a.
#Jalmitra @paanifoundation https://t.co/83VOqB6qCK"
199,@juniorbachchan
200,Tune in right now !#iifaawards2019 catch the show of all shows on Colors TV at 8pm ! @WizAndreTimmins
201,"What about the war within?
There is no war within .
But then the look in his eyes gives it all away
.
.

K.A.B.I.R
#DecodingKabir https://t.co/FO9GDyc6GD"
